datetime,atr
2023-06-12,4.1877
2023-06-13,4.1363
2023-06-14,4.2248
2023-06-15,4.4613
2023-06-16,4.4693
2023-06-20,4.4621
2023-06-21,4.3441
2023-06-22,4.2466
2023-06-23,4.2278
2023-06-26,4.1667
2023-06-27,4.2474
2023-06-28,4.1574
2023-06-29,4.0534
2023-06-30,4.1999
2023-07-03,4.0021
2023-07-05,3.8563
2023-07-06,4.0084
2023-07-07,4.0278
2023-07-10,3.8989
2023-07-11,3.8691
2023-07-12,3.9463
2023-07-13,3.9715
2023-07-14,3.8900
2023-07-17,3.8129
2023-07-18,3.8795
2023-07-19,3.7657
2023-07-20,3.7615
2023-07-21,3.6334
2023-07-24,3.5753
2023-07-25,3.5217
2023-07-26,3.5244
2023-07-27,3.8285
2023-07-28,3.9276
2023-07-31,3.7960
2023-08-01,3.6869
2023-08-02,3.9258
2023-08-03,3.8863
2023-08-04,4.0753
2023-08-07,4.0699
2023-08-08,4.1623
2023-08-09,4.1636
2023-08-10,4.3593
2023-08-11,4.2843
2023-08-14,4.2410
2023-08-15,4.3473
2023-08-16,4.3643
2023-08-17,4.4527
2023-08-18,4.4558
2023-08-21,4.4750
2023-08-22,4.4096
2023-08-23,4.4834
2023-08-24,4.7524
2023-08-25,4.8567
2023-08-28,4.7514
2023-08-29,4.9044
2023-08-30,4.7576
2023-08-31,4.6059
2023-09-01,4.5579
2023-09-05,4.3746
2023-09-06,4.4447
2023-09-07,4.3716
2023-09-08,4.2411
2023-09-11,4.1671
2023-09-12,4.0906
2023-09-13,3.9837
2023-09-14,4.0211
2023-09-15,4.1465
2023-09-18,4.0207
2023-09-19,3.9943
2023-09-20,4.1335
2023-09-21,4.3621
2023-09-22,4.3410
2023-09-25,4.2819
2023-09-26,4.4857
2023-09-27,4.5456
2023-09-28,4.6012
2023-09-29,4.6925
2023-10-02,4.6499
2023-10-03,4.8263
2023-10-04,4.8258
2023-10-05,4.7780
2023-10-06,5.1807
2023-10-09,5.2256
2023-10-10,5.2008
2023-10-11,5.0697
2023-10-12,5.1391
2023-10-13,5.2365
2023-10-16,5.2611
2023-10-17,5.2876
2023-10-18,5.3998
2023-10-19,5.5156
2023-10-20,5.5076
2023-10-23,5.5843
2023-10-24,5.4936
2023-10-25,5.5688
2023-10-26,5.5916
2023-10-27,5.5733
2023-10-30,5.5993
2023-10-31,5.5047
2023-11-01,5.4862
2023-11-02,5.6779
2023-11-03,5.6632
2023-11-06,5.4333
2023-11-07,5.2626
2023-11-08,5.1143
2023-11-09,5.1074
2023-11-10,5.2442
2023-11-13,5.0753
2023-11-14,5.4105
2023-11-15,5.2114
2023-11-16,5.0116
2023-11-17,4.8042
2023-11-20,4.7866
2023-11-21,4.6073
2023-11-22,4.4980
2023-11-24,4.2312
2023-11-27,4.0286
2023-11-28,3.9367
2023-11-29,3.9467
2023-11-30,3.9066
2023-12-01,3.9449
2023-12-04,4.0011
2023-12-05,3.9076
2023-12-06,3.9487
2023-12-07,3.9593
2023-12-08,3.9264
2023-12-11,3.8368
2023-12-12,3.8172
2023-12-13,4.0153
2023-12-14,4.0452
2023-12-15,3.9886
2023-12-18,3.9628
2023-12-19,3.8891
2023-12-20,4.1845
2023-12-21,4.2202
2023-12-22,4.1800
2023-12-26,4.0894
2023-12-27,3.9229
2023-12-28,3.7342
2023-12-29,3.7323
2024-01-02,3.8078
2024-01-03,3.8538
2024-01-04,3.8560
2024-01-05,3.8652
2024-01-08,4.0739
2024-01-09,4.0370
2024-01-10,4.0026
2024-01-11,4.1326
2024-01-12,4.0766
2024-01-16,4.0424
2024-01-17,4.1128
2024-01-18,4.1576
2024-01-19,4.3028
2024-01-22,4.1935
2024-01-23,4.0511
2024-01-24,4.0393
2024-01-25,3.9577
2024-01-26,3.8581
2024-01-29,3.8838
2024-01-30,3.7136
2024-01-31,4.0183
2024-02-01,4.1819
2024-02-02,4.3694
2024-02-05,4.3517
2024-02-06,4.2020
2024-02-07,4.2248
2024-02-08,4.0259
2024-02-09,3.9747
2024-02-12,3.9222
2024-02-13,4.3706
2024-02-14,4.4126
2024-02-15,4.3551
2024-02-16,4.3364
2024-02-20,4.3858
2024-02-21,4.3430
2024-02-22,4.8334
2024-02-23,4.7032
2024-02-26,4.5724
2024-02-27,4.4168
2024-02-28,4.2412
2024-02-29,4.2498
2024-03-01,4.3160
2024-03-04,4.1639
2024-03-05,4.3910
2024-03-06,4.4243
2024-03-07,4.5441
2024-03-08,4.7228
